ID	Fixed.Calls	Duration	Mobile	International	Broadband	DurationHL	Cluster
C173600	104.541482	1878.052181	197.145991	79.847818	0	Low	1
C174300	198.572751	18209.31454	367.193775	0	5.273603	High	1
C174600	159.499387	9520.838901	178.901788	43.574784	0	High	1
C175000	417.134803	21386.73027	769.851177	52.127511	62.880532	High	1
C175100	310.729171	29926.27198	418.971384	0	653.515247	High	1
C176000	70.141028	2560.402718	316.872992	36.22568	0.611779	Low	1
C176200	97.223126	6836.985459	213.056507	28.364319	0	Low	1
C176500	289.776378	32418.98353	734.100055	33.041521	0	High	1
C177000	96.974533	7891.112069	240.865837	0	2.341036	Low	1
C177400	213.308137	24758.18525	333.787085	51.6676	0	High	1
C178200	216.50988	16949.47408	297.484031	0	0	High	1
C178900	88.681268	8345.854961	1895.452082	0	335.127488	Low	1
C179100	232.768627	19672.78927	151.964625	5.676115	1914.119029	High	1
C180200	125.746408	11842.772	190.733936	10.858223	0.774876	High	1
C180500	66.979688	2851.906776	200.939285	10.443365	339.049558	Low	1
C181300	197.075431	12229.70734	203.17272	0	0	High	1
C182000	120.318856	10769.57663	412.192639	0	111.779298	High	1
C182400	83.214462	3252.963721	222.85785	26.723307	0	Low	1
C184400	132.970491	4314.456013	252.94791	91.788768	294.975754	Low	1
C185800	198.512883	14534.38493	201.923262	14.892076	0	High	1
C188700	208.719874	14521.64596	182.320766	0	127.263383	High	1
C190000	150.008355	10659.5558	225.905719	0	1.501424	High	1
C190400	211.360401	14922.72346	214.687706	59.191075	0	High	1
C197300	84.04599	6321.646603	190.886537	16.152373	0	Low	1
C197900	319.633943	13953.15584	613.687137	0	84.435718	High	1
C198400	102.431901	25274.09702	615.269391	0	562.119158	High	1
C199500	84.203354	8937.128119	283.97049	18.085191	401.519394	Low	1
C199600	75.564107	2791.56872	243.508414	38.314514	1.284141	Low	1
C199900	117.037638	13490.03268	257.949604	11.706374	0	High	1
C200900	81.244273	2505.012817	260.441465	19.904957	0	Low	1
C201400	232.198943	12189.91078	219.022483	60.839378	0	High	1
C203600	156.694727	10779.3103	199.822184	27.325647	10.90145	High	1
C205000	108.475566	10865.42327	681.656078	0	743.64758	High	1
C205900	136.739457	19049.16862	215.556772	0	1867.870337	High	1
C208100	189.195728	13715.83801	524.402167	0	789.997297	High	1
C208500	237.041791	26838.60012	231.133478	0	3.646557	High	1
C211100	212.602886	11533.21411	412.999517	0	1744.465936	High	1
C211600	183.901605	10630.79729	224.41235	99.976824	0	High	1
C212100	154.520016	13795.40679	487.732908	0	471.70501	High	1
C212600	164.497449	17073.66891	346.450229	12.796753	0	High	1
C213200	203.035403	24105.64796	180.933278	0	1.542818	High	1
C213400	335.689391	25985.6806	549.603969	0	4.633033	High	1
C213600	160.145239	8633.599	211.260591	0	33.219367	Low	1
C213700	256.93221	13431.37666	189.262123	43.551172	60.071427	High	1
C216700	155.114165	15167.49219	178.813639	21.758396	18.867035	High	1
C218200	63.730004	5825.500692	310.251391	9.653204	35.355259	Low	1
C218800	160.136216	17524.66602	222.646963	0	285.76741	High	1
C220600	116.925855	5689.191564	193.896477	0	62.563842	Low	1
C222200	241.535996	30506.60315	548.868945	0	0	High	1
C224300	316.009781	20510.22181	194.501786	30.333137	0	High	1
C224700	113.334873	141.256037	704.019413	103.069394	0	Low	1
C225400	159.359087	11328.90011	196.650582	5.900653	0	High	1
C227200	214.011328	14522.14026	413.419833	0	524.714129	High	1
C229000	195.694254	11682.35844	178.745166	12.752297	0	High	1
C238000	137.434196	5576.039479	187.9188	95.476478	866.827993	Low	1
C246000	270.001497	22073.74018	179.500333	48.093511	0	High	1
C260000	250.664907	33650.56097	247.500867	8.491901	0	High	1
C269000	179.69792	8584.639817	241.974199	0	66.30038	Low	1
C270000	126.480696	9963.188962	303.51402	35.616097	0	High	1
C285000	179.668044	11174.28731	165.40846	32.767611	0	High	1
C303000	184.617239	17150.79642	280.017892	29.82806	8.035311	High	1
C308000	198.988875	19911.47274	166.28975	29.387659	0	High	1
C314000	182.046467	15680.71463	168.631092	0	430.79307	High	1
C334000	281.47471	15506.07277	221.095386	19.518304	0.409825	High	1
C360000	198.883688	32238.15415	377.372557	3.221793	0	High	1
C364000	111.001484	7965.19111	203.524889	13.800132	1.326609	Low	1
C367000	273.224933	29465.26287	320.710378	0	0	High	1
C376000	244.07227	20290.50295	140.093587	54.144222	0	High	1
C382000	167.820974	10066.14243	268.908124	58.657189	13.878573	High	1
C387000	166.397625	12858.55894	752.718332	13.762471	0	High	1
C399000	288.179416	28954.85459	525.447734	24.04943	6.025877	High	1
C434000	83.202979	24088.57476	476.183223	6.113351	0	High	1
C449000	132.929145	7829.184113	228.934786	0	435.579305	Low	1
C463000	298.289891	28440.77616	426.576181	0	1324.135988	High	1
C465000	231.547029	12308.51305	150.47707	45.201536	0	High	1
C468000	71.624494	1416.361977	222.328821	48.413689	0	Low	1
C481000	80.632072	5362.286969	430.729414	0	0	Low	1
C502000	159.053925	8754.739977	361.938516	76.700982	0	Low	1
C511000	206.077649	17733.50673	239.290758	14.793719	0	High	1
C528000	427.239389	17403.71094	303.836936	0	1757.063191	High	1
C554000	188.950528	12484.8416	170.890691	52.276772	0	High	1
C566000	184.44119	11519.83663	173.713607	7.081219	28.005623	High	1
C577000	409.261459	24789.75677	697.96162	0	422.458484	High	1
C585000	233.49377	16154.54169	394.770574	21.208439	0	High	1
C598000	275.306572	29818.41881	509.562609	102.337054	1056.962571	High	1
C627000	153.778396	7766.529085	183.995099	54.081182	0	Low	1
C629000	116.487197	7444.451183	517.217402	18.013816	0	Low	1
C631000	173.087398	16345.95161	219.612155	10.747217	0	High	1
C667000	225.521957	11344.0031	222.500771	18.114049	0	High	1
C697000	707.960707	33489.29978	593.725057	54.074453	0	High	1
C701000	28.541545	638.430742	267.089225	22.113412	0	Low	1
C717000	69.019815	1231.139832	271.479436	23.496793	32.077681	Low	1
C719000	136.503215	17309.2856	183.850437	0	0	High	1
C749000	185.241177	13247.70976	233.574608	39.085439	0	High	1
C777000	115.45846	13818.56501	349.614347	2.648128	245.700418	High	1
C780000	171.102151	14706.61424	461.985499	0	708.953854	High	1
C785000	202.035525	4615.878388	315.34337	0	219.50802	Low	1
C808000	171.686115	13808.30006	158.081974	56.936098	163.84622	High	1
C820000	110.613769	9486.570766	198.402001	0	0.102491	Low	1
C833000	246.354399	13864.24836	379.317197	38.808078	0	High	1
C868000	197.358956	14957.40536	192.984717	66.307287	1.938184	High	1
C882000	58.493228	35087.08302	301.373682	0	0	High	1
C898000	64.580394	5459.206227	234.702896	0	116.533647	Low	1
C900000	251.089425	20331.6978	284.897529	49.378906	112.208139	High	1
C906000	130.070064	12613.01707	195.687559	10.214661	0	High	1
C925000	90.34035	3006.261146	260.170587	12.197922	0	Low	1
C927000	193.174801	19992.87445	183.771168	8.859424	24.118745	High	1
C939000	138.906089	12479.04221	234.613552	0	342.864234	High	1
C945000	110.282124	8721.891784	288.418599	12.349156	443.917651	Low	1
C951000	215.20688	21604.80667	196.712956	10.409501	0	High	1
C954000	313.175958	16647.90429	181.192503	33.949286	0	High	1
C976000	248.893607	21066.43777	197.06749	0	897.349526	High	1
C977000	129.653279	5940.305636	210.153673	62.891137	0	Low	1
C994000	292.578607	27443.17089	233.754365	67.337511	44.992761	High	1
